engrais,n,mean,sd,lettres
Temoin,5,17.12,3.168,a
Fumier porcs,5,18.128,2.648,a
Fumier poulets,5,20.072,5.811,a
Engrais mineral,5,20.176,3.704,a
50% FPorcs + 50% Eng. Min.,5,20.694,1.761,a
50% FPoulets + 50% Eng. Min.,5,19.958,4.611,a
