engrais,n,mean,sd,lettres
Temoin,5,4.294,0.954,a
Fumier porcs,5,4.736,0.776,a
Fumier poulets,5,4.374,0.64,a
Engrais mineral,5,4.724,0.317,a
50% FPorcs + 50% Eng. Min.,5,4.822,0.374,a
50% FPoulets + 50% Eng. Min.,5,4.896,0.897,a
