engrais,n,mean,sd,lettres
Temoin,5,47.272,16.869,a
Fumier porcs,5,66.462,10.015,a
Fumier poulets,5,61.432,12.659,a
Engrais mineral,5,62.902,16.444,a
50% FPorcs + 50% Eng. Min.,5,73.68,16.51,a
50% FPoulets + 50% Eng. Min.,4,70.622,7.69,a
