engrais,n,mean,sd,lettres
Temoin,5,16.614,3.62,a
Fumier porcs,5,23.746,11.221,a
Fumier poulets,5,19.554,5.105,a
Engrais mineral,5,21.52,4.006,a
50% FPorcs + 50% Eng. Min.,5,23.534,6.813,a
50% FPoulets + 50% Eng. Min.,5,31.132,11.001,a
