engrais,n,mean,sd,lettres
Temoin,5,47.572,21.852,a
Fumier porcs,5,50.122,8.887,a
Fumier poulets,5,59.74,16.7,a
Engrais mineral,5,63.4,24.006,a
50% FPorcs + 50% Eng. Min.,5,63.566,23.692,a
50% FPoulets + 50% Eng. Min.,5,68.76,18.179,a
