engrais,n,mean,sd,lettres
Temoin,5,9.148,1.615,a
Fumier porcs,5,12.218,1.873,a
Fumier poulets,5,10.758,0.669,a
Engrais mineral,5,11.056,2.184,a
50% FPorcs + 50% Eng. Min.,5,12.136,1.709,a
50% FPoulets + 50% Eng. Min.,4,11.172,0.761,a
