bloc,traitement,engrais,projet,annee,site,date_semis,date_repiquage,sem_repiq,period_repiq,date_fert_1,sem_fert1,period_fert1,date_1,sem_d1,period_d1,haut1,feuil1,diam1,date_2,sem_d2,period_d2,haut2,feuil2,diam2,date_fert_2,sem_fert2,period_fert2,date_3,sem_d3,period_d3,haut3,feuil3,diam3,date_4,sem_d4,period_d4,haut4,feuil4,diam4,date_5,sem_d5,period_d5,nb_plants_5,nfleurs_5_m2,nfruits_5_m2,date_6,sem_d6,period_d6,nb_plants_6,nfleurs_6_m2,nfruits_6_m2,date_7,sem_d7,period_d7,nb_plants_7,nfleurs_7_m2,nfruits_7_m2,date_recolte_1,sem_re1,period_re1,date_recolte_2,date_recolte_3,sem_re3,period_re3,nfruits_re_m2,rdt_kghac,rdt_kgha,rdt_tha
2,T4,50% FPorcs + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,20.56,8.75,5.09,2021-02-08,5,Sem AR,37.94,12,6.86,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,42.5,13.75,7.21,2021-02-22,7,Sem AR,46.63,14.63,7.88,2021-02-25,7.43,Sem AR,8,89,18.5,2021-03-04,8.43,Sem AR,8,83.5,24,2021-03-11,9.43,Sem AR,8,69.5,27,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7,1218,1218,1.22
2,T5,50% FPoulets + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,27.43,8.71,6.28,2021-02-08,5,Sem AR,36.21,11,6.73,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,39.49,10.29,7.43,2021-02-22,7,Sem AR,45.29,13.14,7.9,2021-02-25,7.43,Sem AR,7,81.71,13.71,2021-03-04,8.43,Sem AR,7,72.57,22.86,2021-03-11,9.43,Sem AR,7,60,26.86,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.29,1573.71,1573.71,1.57
3,T0,Temoin,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,14.75,7.38,4.02,2021-02-08,5,Sem AR,23.79,9.29,4.73,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,28.71,10.57,5.19,2021-02-22,7,Sem AR,32.86,11.29,5.57,2021-02-25,7.43,Sem AR,6,45.33,8,2021-03-04,8.43,Sem AR,5,49.6,14.4,2021-03-11,9.43,Sem AR,5,45.6,17.6,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7.2,1148.8,1148.8,1.15
3,T1,Fumier porcs,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,16.75,7.5,4.74,2021-02-08,5,Sem AR,29.38,11.63,5.55,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,34.06,13.88,6.14,2021-02-22,7,Sem AR,39.49,14.38,6.45,2021-02-25,7.43,Sem AR,8,63,9,2021-03-04,8.43,Sem AR,7,54.86,13.71,2021-03-11,9.43,Sem AR,7,57.14,15.43,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.71,972.57,972.57,0.97
3,T2,Fumier poulets,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,17.38,8.13,4.68,2021-02-08,5,Sem AR,22.58,8.33,4.68,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,26.25,10,5.07,2021-02-22,7,Sem AR,30.58,9.33,5.63,2021-02-25,7.43,Sem AR,5,44.8,7.2,2021-03-04,8.43,Sem AR,5,45.6,8,2021-03-11,9.43,Sem AR,5,36.8,11.2,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.6,780,780,0.78
3,T3,Engrais mineral,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,17,8.13,4.53,2021-02-08,5,Sem AR,34.21,11.43,6.45,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,40.36,13.57,7.29,2021-02-22,7,Sem AR,44.5,13.14,7.31,2021-02-25,7.43,Sem AR,7,82.86,10.29,2021-03-04,8.43,Sem AR,5,89.6,23.2,2021-03-11,9.43,Sem AR,4,99,22,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5,1061,1061,1.06
3,T4,50% FPorcs + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,18.56,8.13,5.17,2021-02-08,5,Sem AR,35.36,12.14,6.78,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,34.8,12,7.1,2021-02-22,7,Sem AR,37.2,9.6,6.97,2021-02-25,7.43,Sem AR,6,49.33,2,2021-03-04,8.43,Sem AR,3,45.33,10.67,2021-03-11,9.43,Sem AR,3,32,12,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4,1209.33,1209.33,1.21
3,T5,50% FPoulets + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,17,8.25,4.69,2021-02-08,5,Sem AR,33.5,14.5,6.49,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,39,15,7.07,2021-02-22,7,Sem AR,44.86,13.71,8.03,2021-02-25,7.43,Sem AR,7,136.57,25.71,2021-03-04,8.43,Sem AR,5,157.6,43.2,2021-03-11,9.43,Sem AR,5,100.8,48,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,16.8,3061.6,3061.6,3.06
4,T0,Temoin,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,20.58,7,3.7,2021-02-08,5,Sem AR,24.25,6.5,4.51,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,27.67,7.5,4.78,2021-02-22,7,Sem AR,30.75,8.17,4.95,2021-02-25,7.43,Sem AR,6,38,2.67,2021-03-04,8.43,Sem AR,6,34.67,6,2021-03-11,9.43,Sem AR,6,39.33,12.67,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,2,279.33,279.33,0.28
4,T1,Fumier porcs,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,15.94,7.88,3.76,2021-02-08,5,Sem AR,29.94,10.38,5.21,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,34.56,12,5.35,2021-02-22,7,Sem AR,37.38,11.25,5.8,2021-02-25,7.43,Sem AR,8,79,8,2021-03-04,8.43,Sem AR,8,74,13,2021-03-11,9.43,Sem AR,8,46,24.5,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,3.5,640.5,640.5,0.64
